"","ID","name","year","total_enrollment","female","asian","black","hispanic","multi_racial","native_american","white","disability","ESL","poverty","elementary","middle","high","mean_class_size","resp_rate_parent","outsiders_parent","resp_rate_student","outsiders_student","resp_rate_teacher","outsiders_teacher"
"76","06M143","J.H.S. 143 Eleanor Roosevelt","2020-21",225,0.453,0.013,0.049,0.876,0,0.004,0.058,0.276,0.551,0.91,0,1,0,14.375,0.04,0.12,0.21,0.16,0.85,0.05
"77","06M187","P.S./I.S. 187 Hudson Cliffs","2020-21",739,0.498,0.046,0.037,0.48,0.053,0.005,0.378,0.188,0.034,0.44,0.535859269282815,0.364005412719892,0,24.1929824561403,0.44,0.04,0.48,0.17,0.8,0.05
"78","06M209","Hamilton Grange Middle School","2020-21",336,0.491,0.024,0.092,0.813,0.003,0.003,0.063,0.244,0.223,0.84,0,1,0,27.1666666666667,0.23,0.03,0.6,0.09,0.45,0.13
"79","06M210","P.S./I.S. 210 - Twenty-first Century Academy for C","2020-21",423,0.494,0.012,0.019,0.969,0,0,0,0.213,0.357,0.92,0.531914893617021,0.378250591016548,0,21.65625,0.59,0.03,0.85,0.11,0.97,0
"80","06M223","The Mott Hall School","2020-21",269,0.487,0.041,0.067,0.781,0.007,0.004,0.093,0.104,0.03,0.7,0,1,0,18.5238095238095,0.37,0.05,0.69,0.13,0.91,0.05
"81","06M278","Paula Hedbavny School","2020-21",471,0.527,0.025,0.036,0.766,0.019,0,0.153,0.219,0.159,0.66,0.518046709129512,0.411889596602972,0,22.2222222222222,0.19,0.06,0.6,0.15,0.72,0.04
"82","06M293","City College Academy of the Arts","2020-21",611,0.563,0.013,0.033,0.917,0.003,0.002,0.031,0.18,0.07,0.84,0,0.422258592471358,0.577741407528642,27.5833333333333,0.39,0.02,0.49,0.11,0.42,0.15
"83","06M311","Amistad Dual Language School","2020-21",407,0.489,0.007,0.007,0.948,0.007,0,0.027,0.243,0.322,0.8,0.540540540540541,0.348894348894349,0,20.8333333333333,0.2,0.02,0.97,0.1,0.4,0.07
"84","06M319","M.S. 319 - Maria Teresa","2020-21",320,0.438,0,0.028,0.95,0,0,0.022,0.309,0.35,0.95,0,1,0,20.0416666666667,0.34,0.07,0.64,0.16,0.75,0.09
"85","06M322","Middle School 322","2020-21",292,0.432,0.007,0.014,0.949,0.014,0.003,0.014,0.209,0.414,0.94,0,1,0,17.2857142857143,0.42,0.05,0.84,0.14,0.89,0.07
"86","06M324","M.S. 324 - Patria Mirabal","2020-21",268,0.534,0.019,0.078,0.869,0,0,0.034,0.269,0.362,0.85,0,1,0,16.4880952380952,0.04,0.09,0.02,0,0.21,0
"87","06M328","Community Math & Science Prep","2020-21",134,0.425,0.007,0.112,0.813,0,0.015,0.052,0.388,0.463,0.94,0,1,0,17.1428571428571,1,0.01,0.8,0.13,1,0.06
"88","06M346","Community Health Academy of the Heights","2020-21",660,0.489,0.012,0.095,0.873,0.002,0.002,0.017,0.241,0.158,0.91,0,0.406060606060606,0.593939393939394,23.7,0.31,0.02,0.43,0.11,0.98,0
"89","06M348","Washington Heights Expeditionary Learning School","2020-21",952,0.474,0.009,0.021,0.929,0.006,0.004,0.028,0.246,0.178,0.84,0.213235294117647,0.283613445378151,0.454831932773109,24.09375,0.08,0.03,0.32,0.07,0.61,0.02
"90","06M349","Harbor Heights","2020-21",98,0.459,0,0,1,0,0,0,0.031,0.837,0.93,0,1,0,14.6666666666667,0.98,0.02,0.99,0.06,1,0
"91","06M366","Washington Heights Academy","2020-21",547,0.53,0.013,0.018,0.932,0.002,0,0.018,0.223,0.124,0.87,0.586837294332724,0.3345521023766,0,25.95,0.82,0.03,0.95,0.13,0.92,0.03
"92","06M528","I.S. 528 Bea Fuller Rodgers School","2020-21",254,0.504,0.008,0.012,0.965,0,0,0.012,0.276,0.201,0.94,0,1,0,23.8333333333333,0.72,0.03,0.88,0.13,1,0.05
"93","07X005","P.S. 5 Port Morris","2020-21",610,0.43,0.005,0.256,0.71,0.002,0.003,0.025,0.272,0.207,0.95,0.50655737704918,0.421311475409836,0,19.0766666666667,0.33,0.04,0.71,0.2,0.88,0.04
"94","07X029","P.S./M.S. 029 Melrose School","2020-21",794,0.475,0.013,0.321,0.636,0.013,0.008,0.01,0.23,0.154,0.95,0.554156171284635,0.369017632241814,0,20.8894736842105,0.22,0.03,0.55,0.19,0.81,0.14
"95","07X031","P.S./M.S. 031 The William Lloyd Garrison","2020-21",622,0.457,0.021,0.267,0.658,0.003,0.01,0.042,0.246,0.137,0.92,0.540192926045016,0.377813504823151,0,21.9796296296296,0.46,0.01,0.45,0.25,0.77,0.02
"96","07X221","South Bronx Preparatory: A College Board School","2020-21",640,0.514,0.014,0.233,0.722,0,0.005,0.025,0.25,0.069,0.95,0,0.415625,0.584375,23.3809523809524,0.06,0.05,0.73,0.1,0.94,0
"97","07X223","The Laboratory School of Finance and Technology: X","2020-21",715,0.51,0.013,0.171,0.799,0.003,0.006,0.008,0.183,0.062,0.95,0,0.453146853146853,0.546853146853147,26.0714285714286,0.1,0.04,0.63,0.13,0.78,0.14
"98","07X224","P.S./I.S. 224","2020-21",246,0.439,0.008,0.276,0.691,0.008,0.012,0.004,0.317,0.167,0.95,0,1,0,21,0.85,0,0.6,0.17,0.83,0.12
"99","07X296","South Bronx Academy for Applied Media","2020-21",244,0.475,0,0.344,0.627,0,0.016,0.012,0.361,0.102,0.9,0,1,0,19.75,0.63,0.03,0.74,0.09,1,0.04
"100","07X298","Academy of Public Relations","2020-21",197,0.421,0.005,0.244,0.746,0,0.005,0,0.396,0.33,0.95,0,1,0,12.75,0.92,0.02,0.95,0.12,0.96,0.04
"101","07X343","Academy of Applied Mathematics and Technology","2020-21",301,0.455,0.023,0.279,0.688,0,0,0.01,0.252,0.123,0.95,0,1,0,24.1875,0.19,0.11,0.4,0.19,0.84,0
"102","07X500","Hostos-Lincoln Academy of Science","2020-21",569,0.475,0.016,0.251,0.717,0,0.007,0.007,0.202,0.047,0.83,0,0.351493848857645,0.648506151142355,17.547619047619,0.09,0.14,0.15,0.17,0.56,0
"103","07X551","The Urban Assembly Bronx Academy of Letters","2020-21",611,0.475,0.007,0.311,0.642,0.002,0.01,0.029,0.278,0.154,0.93,0,0.410801963993453,0.589198036006547,20.75,0.02,0,0.38,0.23,0.88,0.02
"104","07X584","I.S. 584","2020-21",230,0.465,0.004,0.23,0.748,0,0.013,0.004,0.296,0.209,0.95,0,1,0,20.4761904761905,0.1,0.19,0.67,0.16,0.96,0
"105","08X071","P.S. 071 Rose E. Scala","2020-21",1408,0.484,0.097,0.053,0.624,0.011,0.004,0.21,0.2,0.114,0.71,0.511363636363636,0.394176136363636,0,23.2254385964912,0.15,0.04,0.55,0.18,0.73,0.08
"106","08X101","M.S. X101 Edward R. Byrne","2020-21",548,0.504,0.166,0.095,0.588,0.007,0.015,0.128,0.239,0.018,0.69,0,1,0,22.6770833333333,0.3,0.05,0.7,0.11,0.49,0
"107","08X123","J.H.S. 123 James M. Kieran","2020-21",500,0.49,0.03,0.168,0.77,0,0.02,0.012,0.274,0.252,0.91,0,1,0,24.3333333333333,0.3,0.05,0.7,0.19,0.96,0.02
"108","08X131","J.H.S. 131 Albert Einstein","2020-21",413,0.518,0.031,0.291,0.649,0.002,0.017,0.01,0.274,0.092,0.9,0,1,0,23.9285714285714,0.19,0.11,0.65,0.23,0.89,0.1
"109","08X269","Bronx Studio School for Writers and Artists","2020-21",636,0.535,0.006,0.179,0.797,0,0,0.017,0.258,0.137,0.85,0,0.457547169811321,0.542452830188679,26.3809523809524,0.05,0.03,0.46,0.25,0.73,0.12
"110","08X301","M.S. 301 Paul L. Dunbar","2020-21",187,0.487,0,0.465,0.481,0.005,0.027,0.021,0.326,0.15,0.87,0,1,0,19,0.7,0,0.88,0.05,0.95,0
"111","08X302","M.S. 302 Luisa Dessus Cruz","2020-21",452,0.44,0.002,0.199,0.783,0.002,0.004,0.009,0.338,0.208,0.95,0,1,0,21.59375,0.98,0.05,0.55,0.19,0.7,0.04
"112","08X337","The School for Inquiry and Social Justice","2020-21",462,0.502,0.035,0.184,0.751,0.004,0.011,0.015,0.203,0.136,0.82,0,1,0,21.4583333333333,0.1,0.05,0.67,0.13,0.98,0.08
